timestamp,tds_mv,turbidity_v,ph_mv,air_flow,Soil(V/N),temperature(C),humidity_percent,water_temp_c
5004,120,1.74,7.01,1.4,3.3,27,46.1,25.56
5004,120,1.74,7.01,1.4,3.3,27,46.1,25.56
5004,120,1.74,7.01,1.4,3.3,27,46.1,25.56
5004,120,1.74,7.01,1.4,3.3,27,46.1,25.56
5005.5,120,1.75,7.01,1.4,3.3,27,46.3,25.62
5008.5,120,1.75,7.01,1.4,3.3,27,46.4,25.56
5010,120,1.74,7.01,1.4,3.3,27,46.3,25.62
5011.5,120,1.74,7.01,1.4,3.3,27,46.2,25.62
5013,120,1.74,7.01,1.4,3.3,26.9,46,25.62
5016.1,120,1.74,7.01,1.4,3.3,27,45.9,25.56
5017.6,120,1.74,7.01,1.4,3.3,27,45.9,25.56
5019.1,120,1.75,7.01,1.4,3.3,27,45.9,25.62
5022.1,120,1.75,7.01,1.4,3.3,27,45.7,25.62
5023.6,120,1.74,7.01,1.4,3.3,27,45.6,25.56
5025.1,120,1.74,7.01,1.4,3.3,27,45.4,25.62
5028.2,120,1.74,7.01,1.4,3.3,27,45.3,25.62
5029.7,120,1.75,7.01,1.4,3.3,27,45.2,25.62
5031.2,120,1.74,7.01,1.4,3.3,27,45.3,25.62
5032.7,120,1.75,7.01,1.4,3.3,27,45.3,25.56
5035.7,120,1.74,7.01,1.4,3.3,27,45,25.62
5037.2,120,1.74,7.01,1.4,3.3,27,45,25.56
5038.8,120,1.74,7.01,1.4,3.3,27,45,25.62
5041.8,120,1.74,7.01,1.4,3.3,27,45.2,25.56
5043.4,120,1.74,7.01,1.4,3.3,27,45.5,25.62
5044.8,120,1.74,7.01,1.4,3.3,27,45.5,25.56
5046.3,120,1.74,7.01,1.4,3.3,27,45.8,25.62
5049.4,120,1.75,7.01,1.4,3.3,27,46.3,25.56
5051.4,120,1.74,7.01,1.4,3.3,27,46.3,25.56
5053.5,120,1.74,7.01,1.4,3.3,27,46.2,25.56
5056.4,120,1.74,7.01,1.4,3.3,27,46.1,25.56
5057.9,120,1.74,7.01,1.4,3.3,27,45.9,25.56
5059.4,120,1.74,7.01,1.4,3.3,27,45.7,25.56
5102.5,120,1.74,7.01,1.4,3.3,27,45.6,25.62
5104,120,1.74,7.01,1.4,3.3,27,45.6,25.56
5105.5,120,1.75,7.01,1.4,3.3,27,45.4,25.56
5107,120,1.74,7.01,1.4,3.3,27,45.4,25.56
5110,120,1.74,7.01,1.4,3.3,27,45.6,25.56
5111.6,120,1.74,7.01,1.4,3.3,27,45.4,25.56
5113.1,120,1.74,7.01,1.4,3.3,27,45.4,25.56
5117.6,120,1.74,7.01,1.4,3.3,27.1,44.9,25.62
5119.1,120,1.74,7.01,1.4,3.3,27.1,44.9,25.56
5120.7,120,1.74,7.01,1.4,3.3,27,44.6,25.62
5123.7,120,1.74,7.01,1.4,3.3,27,44.2,25.56
5125.2,120,1.74,7.01,1.4,3.3,27,44.2,25.56
5126.7,120,1.74,7.01,1.4,3.3,27,44.1,25.56
5131.2,120,1.74,7.01,1.4,3.3,27.1,43.8,25.56
5132.8,120,1.74,7.01,1.4,3.3,27.1,43.8,25.56
5134.3,120,1.74,7.01,1.4,3.3,27.1,43.8,25.56
5137.3,120,1.74,7.01,1.4,3.3,27.1,43.8,25.56
5138.8,120,1.74,7.01,1.4,3.3,27.1,43.9,25.56
5140.3,120,1.74,7.01,1.4,3.3,27,43.8,25.62
5141.9,120,1.75,7.01,1.4,3.3,27.1,44.1,25.56
5144.9,120,1.73,7.01,1.4,3.3,27,44.2,25.56
5146.4,120,1.74,7.01,1.4,3.3,27.1,44.1,25.56
5147.9,120,1.74,7.01,1.4,3.3,27.1,44.2,25.56
5150.9,120,1.74,7.01,1.4,3.3,27.1,44.1,25.56
5152.4,120,1.74,7.01,1.4,3.3,27.1,43.9,25.56
5153.9,120,1.74,7.01,1.4,3.3,27.1,43.8,25.56
5155.5,120,1.74,7.01,1.4,3.3,27.1,43.8,25.56
5158.5,120,1.75,7.01,1.4,3.3,27.1,43.8,25.56
5200,120,1.74,7.01,1.4,3.3,27.1,43.7,25.62
5201.5,120,1.74,7.01,1.4,3.3,27.1,43.7,25.56
5204.5,120,1.74,7.01,1.4,3.3,27,43.6,25.56
5206.1,120,1.74,7.01,1.4,3.3,27.1,43.6,25.62
5207.6,120,1.74,7.01,1.4,3.3,27.1,43.6,25.56
5209.1,120,1.74,7.01,1.4,3.3,27,43.6,25.56
5212.2,120,1.74,7.01,1.4,3.3,27,43.6,25.56
5213.7,120,1.73,7.01,1.4,3.3,27,43.6,25.56
5215.2,120,1.73,7.01,1.4,3.3,27,43.9,25.56
5219.7,120,1.74,7.01,1.4,3.3,27,44.4,25.56
5221.2,120,1.73,7.01,1.4,3.3,27,44.6,25.56
5222.7,120,1.73,7.01,1.4,3.3,27,44.4,25.56
5225.7,120,1.73,7.01,1.4,3.3,27,44.2,25.69
5227.2,120,1.73,7.01,1.4,3.3,27,44.1,26.44
5228.7,120,1.72,7.01,1.4,3.3,27,43.9,27.06
5231.8,120,1.72,7.01,1.4,3.3,27,43.9,28.38
5233.3,120,1.72,7.01,1.4,3.3,27,44.2,28.94
5234.8,120,1.73,7.01,1.4,3.3,27,44.1,29.5
5236.3,120,1.72,7.01,1.4,3.3,27,44.1,30
5239.4,120,1.72,7.01,1.4,3.3,27,44,30.81
5240.9,120,1.72,7.01,1.4,3.3,27,44,31.12
5242.4,120,1.72,7.01,1.4,3.3,27,44,31.44
5243.9,120,1.72,7.01,1.4,3.3,27,44,31.81
5246.9,120,1.72,7.01,1.4,3.3,27,44,32.25
5248.4,120,1.72,7.01,1.4,3.3,27,44,32.13
5250,120,1.72,7.01,1.4,3.3,27,44,30.69
5253,120,1.72,7.01,1.4,3.3,26.9,43.7,28.31
5254.5,120,1.72,7.01,1.4,3.3,26.9,43.6,27.44
5256,120,1.73,7.01,1.4,3.3,26.9,43.6,26.69
5257.5,120,1.73,7.01,1.4,3.3,26.9,43.5,26
5300.6,120,1.73,7.01,1.4,3.3,26.9,43.4,25.12
5302.1,120,1.73,7.01,1.4,3.3,26.9,43.4,24.87
5303.6,120,1.72,7.01,1.4,3.3,26.9,43.3,24.69
5306.6,120,1.73,7.01,1.4,3.3,26.9,44,24.75
5308.1,120,1.73,7.01,1.4,3.3,26.9,44,24.87
5309.7,120,1.73,7.01,1.4,3.3,26.9,44.3,25.37
5311.2,120,1.72,7.01,1.4,3.3,26.9,44.4,26.12
5314.2,120,1.72,7.01,1.4,3.3,26.9,44.5,27.81
5315.7,120,1.72,7.01,1.4,3.3,26.9,44.4,28.44
5317.2,120,1.72,7.01,1.4,3.3,26.9,44.3,29
